"ID_UNIDADE";"FK_ID_ALOC";"TIPO";"DATA_FUND";"DENOM";"STATUS";"FK_ID_LOCAL";"COMP";"ZONA";"CUSTO_MANUTEN";"CUSTO_IMPLEMENT";"CONSUMO_AGUA";"POLUICAO_AMB";"POLUICAO_SONORA";"CONSUMO_ENERG";"CAP_MAX_PROD";"CAP_ATUAL_PROD";"QTDE_MAX_CAMINHOES";"TAXA_ATUAL_ARMAZ";"TAXA_ATUAL_PROCESS";"QTDE_ATUAL_CAMINHOES";"TOTAL_VAGAS_TRAB";"TOTAL_ATUAL_TRAB";"VARIACAO";"MATERIA_PRIMA";"PRODUTO_FINAL";"MODO_ARMAZ";"CAP_MAX_EST";"CAP_ATUAL_EST"
25;6;"PROCESSAMENTO";"2023-09-24";"MATADOURO I";1;14;"ESTRADA JACKSON";"O";336.0;20000.0;240;25;50;480;4800;7120;5;20;0;5;85;33;"-";"GRÃOS";"PROD. ANIMAIS";"-";0;0
26;6;"PROCESSAMENTO";"2026-08-10";"MOINHO I";1;14;"RUA PRICE";"O";240.0;18750.0;160;20;50;640;4000;7120;5;13;3;0;45;31;"-";"GRÃOS";"FARINHA";"-";0;0
27;6;"PROCESSAMENTO";"2026-08-10";"MOINHO II";1;14;"CAMINHO ROBERT";"O";240.0;18750.0;160;20;50;640;4000;7120;5;12;6;1;45;44;"-";"GRÃOS";"FARINHA";"-";0;0
28;6;"ARMAZENAMENTO";"2022-04-27";"SILO DE GRÃOS GRANDE I";1;14;"ESTRADA JACKSON";"O";80.0;27500.0;320;0;35;400;0;0;25;0;0;24;40;40;"-";"GRÃOS";"-";"BALANCEADO";600;584
29;6;"ARMAZENAMENTO";"2022-02-22";"SILO DE GRÃOS GRANDE II";1;14;"RUA WARD";"O";80.0;27500.0;320;0;35;400;0;0;25;0;0;25;40;37;"-";"GRÃOS";"-";"BALANCEADO";600;584
30;6;"ARMAZENAMENTO";"2029-06-16";"SILO DE GRÃOS GRANDE III";1;14;"RUA PRICE";"O";80.0;27500.0;320;0;35;400;0;0;25;0;0;25;40;31;"-";"GRÃOS";"-";"BALANCEADO";600;584
31;6;"ARMAZENAMENTO";"2022-12-14";"SILO DE GRÃOS PEQUENO I";1;14;"CAMINHO JEREMY";"O";20.0;7500.0;80;0;35;160;0;0;12;0;0;12;15;13;"-";"GRÃOS";"-";"BALANCEADO";300;284
32;6;"ARMAZENAMENTO";"2022-11-29";"SILO DE GRÃOS PEQUENO II";1;14;"ESTRADA JACKSON";"O";20.0;7500.0;80;0;35;160;0;0;12;0;0;12;15;15;"-";"GRÃOS";"-";"BALANCEADO";300;300
33;6;"ARMAZENAMENTO";"2033-07-07";"CELEIRO PEQUENO I";1;14;"CAMINHO ROBERT";"O";40.0;15000.0;240;0;20;240;0;0;15;0;0;15;24;22;"-";"GRÃOS";"-";"BALANCEADO";400;392
34;6;"GERENCIAMENTO";"2022-03-03";"EDIFÍCIO PRINCIPAL DA FAZENDA";1;14;"RUA JACKSON";"O";200.0;7500.0;80;0;35;160;0;0;12;0;0;12;15;13;"-";"-";"-";"-";0;0
35;6;"GERENCIAMENTO";"2022-03-03";"EDIFÍCIO DE MANUTENÇÃO DA FAZENDA I";1;14;"RUA COSTAN";"O";250.0;31250.0;160;0;25;480;0;0;0;0;0;0;75;45;"-";"-";"-";"-";0;0
36;6;"GERENCIAMENTO";"2029-03-03";"EDIFÍCIO DE MANUTENÇÃO DA FAZENDA II";1;14;"CAMINHO ROBERT";"O";250.0;31250.0;160;0;25;480;0;0;0;0;0;0;75;45;"-";"-";"-";"-";0;0
37;6;"GERENCIAMENTO";"2022-03-03";"BARRACÕES DOS TRABALHADORES DA FAZENDA I";1;14;"RUA COSTAN";"O";200.0;12500.0;240;0;25;240;0;0;0;0;0;0;40;36;"-";"-";"-";"-";0;0
38;6;"GERENCIAMENTO";"2022-03-03";"BARRACÕES DOS TRABALHADORES DA FAZENDA II";1;14;"RUA COSTAN";"O";200.0;12500.0;240;0;25;240;0;0;0;0;0;0;40;35;"-";"-";"-";"-";0;0
39;6;"GERENCIAMENTO";"2025-10-22";"BARRACÕES DOS TRABALHADORES DA FAZENDA III";1;14;"RUA JACKSON";"O";200.0;12500.0;240;0;25;240;0;0;0;0;0;0;40;34;"-";"-";"-";"-";0;0
40;6;"GERENCIAMENTO";"2025-10-22";"BARRACÕES DOS TRABALHADORES DA FAZENDA IV";1;14;"RUA JACKSON";"O";200.0;12500.0;240;0;25;240;0;0;0;0;0;0;40;37;"-";"-";"-";"-";0;0
41;6;"GERENCIAMENTO";"2025-10-22";"BARRACÕES DOS TRABALHADORES DA FAZENDA V";1;14;"CAMINHO JEREMY";"O";200.0;12500.0;240;0;25;240;0;0;0;0;0;0;40;38;"-";"-";"-";"-";0;0
42;6;"GERENCIAMENTO";"2025-10-22";"BARRACÕES DOS TRABALHADORES DA FAZENDA VI";1;14;"CAMINHO JEREMY";"O";200.0;12500.0;240;0;25;240;0;0;0;0;0;0;40;38;"-";"-";"-";"-";0;0
43;6;"GERENCIAMENTO";"2025-10-22";"BARRACÕES DOS TRABALHADORES DA FAZENDA VII";1;14;"ESTRADA JACKSON";"O";200.0;12500.0;240;0;25;240;0;0;0;0;0;0;40;40;"-";"-";"-";"-";0;0
44;6;"GERENCIAMENTO";"2029-03-03";"BARRACÕES DOS TRABALHADORES DA FAZENDA VIII";1;14;"ESTRADA JACKSON";"O";200.0;12500.0;240;0;25;240;0;0;0;0;0;0;40;39;"-";"-";"-";"-";0;0
45;6;"GERENCIAMENTO";"2029-03-03";"BARRACÕES DOS TRABALHADORES DA FAZENDA VIII";1;14;"ESTRADA JACKSON";"O";200.0;12500.0;240;0;25;240;0;0;0;0;0;0;40;39;"-";"-";"-";"-";0;0
46;6;"ARMAZENAMENTO";"2042-08-08";"CELEIRO PEQUENO II";1;19;"ALAMEDA VICTORIA";"S";40.0;15000.0;240;0;20;240;0;0;15;0;0;15;24;15;"-";"GRÃOS";"-";"BALANCEADO";400;312
47;6;"ARMAZENAMENTO";"2040-04-16";"SILO DE GRÃOS GRANDE IV";1;27;"ESTRADA CIDREIRA";"L";80.0;27500.0;320;0;35;400;0;0;25;0;0;0;40;27;"-";"GRÃOS";"-";"BALANCEADO";600;440
48;6;"ARMAZENAMENTO";"2040-04-30";"SILO DE GRÃOS GRANDE V";1;27;"RUA PRICE";"L";80.0;27500.0;320;0;35;400;0;0;25;0;0;0;40;23;"-";"GRÃOS";"-";"BALANCEADO";600;336
