"ID_UNIDADE";"FK_ID_ALOC";"TIPO";"DATA_FUND";"DENOM";"STATUS";"FK_ID_LOCAL";"COMP";"ZONA";"CUSTO_MANUTEN";"CUSTO_IMPLEMENT";"CONSUMO_AGUA";"POLUICAO_AMB";"POLUICAO_SONORA";"CONSUMO_ENERG";"CAP_MAX_PROD";"CAP_ATUAL_PROD";"QTDE_MAX_CAMINHOES";"TAXA_ATUAL_ARMAZ";"TAXA_ATUAL_PROCESS";"QTDE_ATUAL_CAMINHOES";"TOTAL_VAGAS_TRAB";"TOTAL_ATUAL_TRAB";"VARIACAO";"MATERIA_PRIMA";"PRODUTO_FINAL";"MODO_ARMAZ";"CAP_MAX_EST";"CAP_ATUAL_EST"
17;8;"ARMAZENAMENTO";"2032-11-05";"DEPÓSITO DA INDÚSTRIA PETROLÍFERA I";1;25;"RUA ROBERTS";"L";120.0;25000.0;240;0;50;960;0;0;20;0;0;20;43;39;"-";"ÓLEO";"-";"BALANCEADO";500000;492000
18;8;"ARMAZENAMENTO";"2032-12-23";"DEPÓSITO DA INDÚSTRIA PETROLÍFERA II";1;25;"RUA ROBERTS";"L";120.0;25000.0;240;0;50;960;0;0;20;0;0;20;43;39;"-";"ÓLEO";"-";"BALANCEADO";500000;492000
19;8;"ARMAZENAMENTO";"2034-02-17";"FAZENDA DE TANQUES DE PETRÓLEO CRÚ PEQUENA I";1;25;"RUA EMERSON";"L";40.0;9375.0;240;0;40;80;0;0;12;0;0;12;18;18;"-";"ÓLEO";"-";"BALANCEADO";300000;300000
20;8;"ARMAZENAMENTO";"2034-01-26";"DEPÓSITO DE PETRÓLEO CRÚ I";1;25;"RUA DAVIES";"L";80.0;15000.0;320;0;25;800;0;0;15;0;0;15;31;19;"-";"ÓLEO";"-";"BALANCEADO";400000;392000
21;8;"ARMAZENAMENTO";"2034-02-23";"FAZENDA DE TANQUES DE PETRÓLEO CRÚ GRANDE I";1;25;"RUA EMERSON";"L";160.0;37500.0;400;0;25;160;0;0;25;0;0;9;59;29;"-";"ÓLEO";"-";"BALANCEADO";600000;440000
22;8;"GERENCIAMENTO";"2031-04-15";"EDIFÍCIO PRINCIPAL DE PETRÓLEO";1;25;"RUA GREEN";"L";300.0;37500.0;192;0;50;480;0;0;0;0;0;0;110;55;"-";"-";"-";"-";0;0
23;8;"GERENCIAMENTO";"2031-04-15";"EDIFÍCIO MANUTENÇÃO DE PETRÓLEO I";1;25;"RUA GREEN";"L";360.0;43750.0;160;0;25;640;0;0;0;0;0;0;50;42;"-";"-";"-";"-";0;0
24;8;"GERENCIAMENTO";"2031-04-15";"EDIFÍCIO MANUTENÇÃO DE PETRÓLEO II";1;25;"RUA GREEN";"L";360.0;43750.0;160;0;25;640;0;0;0;0;0;0;50;34;"-";"-";"-";"-";0;0
25;8;"GERENCIAMENTO";"2031-04-15";"BARRACÕES DOS TRABALHADORES DE PETRÓLEO I";1;25;"RUA GREEN";"L";280.0;18750.0;240;0;25;240;0;0;0;0;0;0;40;27;"-";"-";"-";"-";0;0
26;8;"GERENCIAMENTO";"2031-04-15";"BARRACÕES DOS TRABALHADORES DE PETRÓLEO II";1;25;"RUA GREEN";"L";280.0;18750.0;240;0;25;240;0;0;0;0;0;0;40;25;"-";"-";"-";"-";0;0
27;8;"GERENCIAMENTO";"2031-04-15";"BARRACÕES DOS TRABALHADORES DE PETRÓLEO III";1;25;"RUA GREEN";"L";280.0;18750.0;240;0;25;240;0;0;0;0;0;0;40;32;"-";"-";"-";"-";0;0
28;8;"GERENCIAMENTO";"2031-04-15";"BARRACÕES DOS TRABALHADORES DE PETRÓLEO IV";1;25;"RUA GREEN";"L";280.0;18750.0;240;0;25;240;0;0;0;0;0;0;40;31;"-";"-";"-";"-";0;0
