"ID_UNIDADE";"FK_ID_ALOC";"TIPO";"DATA_FUND";"DENOM";"STATUS";"FK_ID_LOCAL";"COMP";"ZONA";"CUSTO_MANUTEN";"CUSTO_IMPLEMENT";"CONSUMO_AGUA";"POLUICAO_AMB";"POLUICAO_SONORA";"CONSUMO_ENERG";"CAP_MAX_PROD";"CAP_ATUAL_PROD";"QTDE_MAX_CAMINHOES";"TAXA_ATUAL_ARMAZ";"TAXA_ATUAL_PROCESS";"QTDE_ATUAL_CAMINHOES";"TOTAL_VAGAS_TRAB";"TOTAL_ATUAL_TRAB";"VARIACAO";"MATERIA_PRIMA";"PRODUTO_FINAL";"MODO_ARMAZ";"CAP_MAX_EST";"CAP_ATUAL_EST"
11;7;"PROCESSAMENTO";"2025-05-25";"USINA DE FIBRA DE VIDRO I";1;32;"ALAMEDA CLARKE";"L";576.0;43750.0;320;60;50;1120;6400;9344;8;10;7;6;85;45;"-";"MINÉRIO";"VIDRO";"-";0;0
12;7;"PROCESSAMENTO";"2025-05-25";"USINA DE FIBRA DE VIDRO II";1;32;"RUA PARKER";"L";576.0;43750.0;320;60;50;1120;6400;0;8;0;26;3;85;57;"-";"MINÉRIO";"VIDRO";"-";0;0
13;7;"PROCESSAMENTO";"2025-05-30";"PROCESSADOR DE MINÉRIO I";1;32;"RUA CLARKE";"L";288.0;25000.0;240;50;100;1600;3200;4672;5;12;1;3;45;21;"-";"MINÉRIO";"METAIS";"-";0;0
14;7;"PROCESSAMENTO";"2025-06-20";"USINA DE MANUFATURA DE VIDRO I";1;32;"RUA CLARKE";"L";384.0;31250.0;240;20;40;1920;3200;4672;5;10;8;3;60;35;"-";"MINÉRIO";"VIDRO";"-";0;0
15;7;"PROCESSAMENTO";"2025-06-20";"USINA DE MANUFATURA DE VIDRO II";1;32;"RUA PARKER";"L";384.0;31250.0;240;20;40;1920;3200;4672;5;14;7;3;60;30;"-";"MINÉRIO";"VIDRO";"-";0;0
16;7;"PROCESSAMENTO";"2025-08-14";"FORNOS INDUSTRIAIS I";1;32;"RUA ELISA";"L";480.0;37500.0;320;60;75;1280;6400;9344;8;5;1;7;65;36;"-";"MINÉRIO";"METAIS";"-";0;0
17;7;"PROCESSAMENTO";"2025-10-16";"FORNOS INDUSTRIAIS II";1;32;"RUA PARKER";"L";480.0;37500.0;320;60;75;1280;6400;9344;8;5;8;5;65;36;"-";"MINÉRIO";"METAIS";"-";0;0
18;7;"ARMAZENAMENTO";"2025-02-14";"DEPÓSITO DE MINERAIS BRUTOS I";1;32;"ESTRADA JULIE COOK";"L";120.0;26250.0;400;20;25;160;0;0;25;0;0;25;36;27;"-";"MINÉRIO";"-";"BALANCEADO";600;568
19;7;"ARMAZENAMENTO";"2025-02-16";"DEPÓSITO DE MINERAIS INDUSTRIAIS I";1;32;"AV. CASTANHEIRA";"L";90.0;18750.0;320;0;25;240;0;0;20;0;0;20;27;27;"-";"MINÉRIO";"-";"BALANCEADO";500;468
20;7;"ARMAZENAMENTO";"2025-02-16";"DEPÓSITO DE MINÉRIOS I";1;32;"RUA PARKER";"L";60.0;12500.0;240;10;10;80;0;0;15;0;0;15;17;16;"-";"MINÉRIO";"-";"BALANCEADO";400;368
21;7;"GERENCIAMENTO";"2025-01-01";"EDIFÍCIO PRINCIPAL DE MINERAÇÃO";1;32;"RUA MINAS GERAIS";"L";250.0;31250.0;192;0;50;480;0;0;0;0;0;0;75;33;"-";"-";"-";"-";0;0
22;7;"GERENCIAMENTO";"2025-01-01";"EDIFÍCIO DE MANUTENÇÃO DA MINERAÇÃO";1;32;"RUA MINAS GERAIS";"L";320.0;40000.0;160;0;25;640;0;0;0;0;0;0;50;31;"-";"-";"-";"-";0;0
23;7;"GERENCIAMENTO";"2025-01-01";"BARRACÕES DOS TRABALHADORES DA MINERAÇÃO I";1;32;"RUA MINAS GERAIS";"L";240.0;17500.0;240;0;25;240;0;0;0;0;0;0;40;28;"-";"-";"-";"-";0;0
24;7;"GERENCIAMENTO";"2025-01-01";"BARRACÕES DOS TRABALHADORES DA MINERAÇÃO II";1;32;"RUA MINAS GERAIS";"L";240.0;17500.0;240;0;25;240;0;0;0;0;0;0;40;28;"-";"-";"-";"-";0;0
25;7;"GERENCIAMENTO";"2025-01-01";"BARRACÕES DOS TRABALHADORES DA MINERAÇÃO III";1;32;"RUA MINAS GERAIS";"L";240.0;17500.0;240;0;25;240;0;0;0;0;0;0;40;28;"-";"-";"-";"-";0;0
